2019 Healthiest Communities Rank,Community,"2019 Healthiest Communities Overall Score (out of 100)",Community Vitality,Equity,Economy,Education,Environment,Food & Nutrition,Population Health,Housing,Public Safety,Infrastructure
237,"Madison County, Iowa",68.9,73.8,62.7,59.7,42.3,67.9,49.8,74.8,66.1,74.9,63.2
238,"Kent County, Rhode Island",68.9,47.2,69.0,71.2,63.0,65.5,53.7,61.0,49.8,84.7,76.8
239,"Stafford County, Virginia",68.8,65.7,66.4,77.9,62.8,64.6,44.1,69.1,50.6,76.5,49.6
240,"Carroll County, Maryland",68.8,58.5,70.4,75.7,64.4,63.0,51.5,72.0,55.7,67.5,46.3
241,"Dickey County, North Dakota",68.8,55.3,58.5,56.7,36.4,73.3,44.4,72.1,81.0,78.6,91.5
242,"Windsor County, Vermont",68.8,60.4,62.1,57.3,53.3,70.2,74.4,76.2,47.8,67.1,67.5
243,"Adair County, Iowa",68.7,60.5,68.8,49.3,44.7,72.2,61.5,77.4,73.0,76.7,53.6
244,"Cook County, Minnesota",68.7,77.2,70.7,46.8,59.4,83.5,64.4,80.4,18.3,70.8,62.4
245,"Blanco County, Texas",68.7,81.4,65.5,65.0,56.0,62.7,61.2,58.3,65.3,78.8,35.5
246,"Marshall County, Kansas",68.7,58.1,66.0,55.0,51.7,60.8,66.5,72.5,66.8,69.0,70.9
247,"Rio Blanco County, Colorado",68.6,64.4,55.4,51.5,36.9,73.1,75.7,87.9,48.2,85.8,59.7
248,"Phelps County, Nebraska",68.6,57.1,69.4,52.7,54.9,59.5,43.0,78.0,73.1,67.7,80.3
249,"Lawrence County, South Dakota",68.6,54.4,69.1,54.4,47.9,72.8,54.7,80.9,61.3,67.0,74.3
250,"Fort Bend County, Texas",68.6,72.7,37.2,90.1,74.8,35.3,47.1,75.5,61.2,53.8,70.2
251,"San Luis Obispo County, California",68.5,47.1,37.4,64.6,60.5,71.6,78.0,85.1,39.5,64.9,91.8
252,"Nicollet County, Minnesota",68.5,55.8,61.4,61.1,61.6,83.1,31.8,76.7,55.4,71.6,78.9
253,"Cuming County, Nebraska",68.5,54.7,64.4,49.5,52.6,63.7,65.9,79.1,75.0,68.0,62.4
254,"Newport County, Rhode Island",68.4,44.2,54.3,68.4,65.7,57.5,60.8,75.4,52.6,81.5,76.5
255,"Kearney County, Nebraska",68.4,57.8,68.5,53.6,50.8,57.0,71.0,72.3,72.1,60.1,71.0
256,"Cumberland County, Pennsylvania",68.4,54.8,54.2,72.0,62.3,55.1,49.1,75.8,64.7,68.4,74.3
257,"Ottawa County, Michigan",68.4,62.0,53.7,68.2,58.9,71.3,43.3,77.2,57.4,61.6,78.0
258,"Chesterfield County, Virginia",68.3,65.2,52.7,79.6,65.6,59.2,35.1,75.6,53.8,63.9,74.5
259,"Oneida County, Wisconsin",68.3,68.1,72.6,54.3,48.6,77.7,49.7,76.3,59.2,57.6,66.8
260,"Washington County, Iowa",68.3,60.5,67.8,58.9,48.7,63.5,50.8,71.6,69.2,67.0,76.4
261,"Kossuth County, Iowa",68.3,67.6,55.2,51.8,50.0,71.3,48.0,77.6,77.6,58.1,77.5
262,"Sonoma County, California",68.2,38.6,39.6,72.8,56.5,77.9,84.0,81.9,36.6,76.2,75.5
263,"Gillespie County, Texas",68.2,71.6,65.4,60.0,54.5,63.1,66.0,73.4,45.4,60.2,69.0
264,"Le Sueur County, Minnesota",68.1,67.7,60.6,59.4,47.5,73.5,51.7,74.0,53.9,80.5,65.9
265,"Hood River County, Oregon",68.1,60.1,53.4,51.9,46.0,70.1,77.4,79.0,51.7,78.3,70.8
266,"Platte County, Wyoming",68.1,65.7,67.2,46.8,52.7,71.7,72.6,58.7,69.7,71.4,63.6
267,"Chickasaw County, Iowa",68.0,61.2,65.5,47.9,42.1,68.8,53.1,74.9,78.3,72.2,73.5
268,"Napa County, California",68.0,39.3,43.4,76.1,55.7,73.3,85.4,80.6,38.4,73.2,69.0
269,"Lake County, South Dakota",67.9,79.5,50.3,58.8,46.2,46.8,35.9,74.0,91.5,74.2,71.9
270,"Johnson County, Iowa",67.9,47.7,34.6,67.1,80.1,68.1,44.1,92.1,48.2,65.5,81.3
271,"Orange County, North Carolina",67.9,59.4,20.4,71.8,73.7,62.5,52.8,82.7,52.6,62.1,94.6
272,"Pottawatomie County, Kansas",67.9,66.8,66.6,63.1,52.0,56.8,42.3,80.0,62.4,62.7,71.1
273,"Windham County, Vermont",67.9,59.5,59.5,53.7,62.5,67.9,74.8,78.7,44.9,64.4,64.0
274,"Big Horn County, Wyoming",67.9,59.8,78.3,51.4,50.5,77.7,66.4,56.0,73.3,61.7,61.3
275,"Sheridan County, Montana",67.8,75.3,61.1,53.0,32.0,76.7,64.4,76.8,75.4,38.7,75.5
276,"Rockland County, New York",67.8,54.0,46.3,80.0,70.3,66.6,63.2,79.3,22.9,94.7,49.1
277,"Butler County, Pennsylvania",67.8,57.7,71.8,66.2,62.0,57.0,46.9,66.7,69.1,63.2,65.1
278,"Clay County, Nebraska",67.8,61.1,77.0,49.1,50.6,64.0,51.7,67.4,71.3,68.1,73.2
279,"Wallowa County, Oregon",67.8,75.9,54.3,36.4,51.7,69.8,80.9,85.6,38.9,76.9,63.5
280,"Wright County, Iowa",67.7,57.5,62.2,50.6,45.3,80.9,53.4,73.6,63.6,72.2,79.8
281,"Burlington County, New Jersey",67.7,50.3,57.3,83.0,74.5,50.5,52.2,69.0,50.2,66.2,69.0
282,"Caribou County, Idaho",67.6,60.3,50.8,58.0,41.5,74.1,59.5,74.8,81.5,80.2,53.3
283,"Ransom County, North Dakota",67.6,53.4,68.5,54.5,35.8,62.4,61.5,65.2,92.9,77.0,65.7
284,"Prince William County, Virginia",67.6,50.8,41.2,85.2,65.5,63.5,51.3,76.7,40.2,89.2,64.1
285,"McHenry County, Illinois",67.6,54.3,53.4,81.4,62.5,70.1,46.0,71.9,45.3,73.9,67.5
286,"Washakie County, Wyoming",67.5,59.0,75.4,46.0,56.6,73.4,70.2,68.0,44.0,63.9,78.6
287,"Barnes County, North Dakota",67.5,57.0,58.2,56.1,35.2,65.2,42.7,75.1,82.9,86.6,78.4
288,"King County, Washington",67.4,47.1,25.7,86.1,63.2,44.9,75.4,90.9,50.1,60.3,76.6
289,"Cherry County, Nebraska",67.4,58.6,65.5,57.6,45.1,66.3,49.7,82.9,81.1,44.4,71.8
290,"Benton County, Oregon",67.4,47.6,46.3,55.2,64.2,62.7,60.3,92.0,41.9,71.9,89.4
291,"Sibley County, Minnesota",67.4,62.1,65.9,53.4,44.4,73.9,59.5,63.0,68.9,88.3,57.2
292,"Faribault County, Minnesota",67.4,59.7,66.1,45.0,49.7,77.4,59.6,65.9,61.3,76.5,78.8
293,"Pocahontas County, Iowa",67.4,62.8,65.7,49.9,44.1,73.3,58.8,72.2,71.3,72.6,61.4
294,"Fayette County, Iowa",67.3,55.4,67.8,46.0,50.6,74.8,65.3,70.4,57.2,72.1,77.7
295,"Cerro Gordo County, Iowa",67.3,53.1,62.8,56.4,61.4,66.1,48.7,79.3,66.5,52.9,78.9
296,"Kane County, Utah",67.2,60.8,60.6,55.6,41.8,71.0,50.4,77.4,59.2,79.8,76.2
297,"Tazewell County, Illinois",67.2,51.2,79.6,62.8,49.1,68.3,30.5,67.7,72.7,70.3,76.6
298,"Monmouth County, New Jersey",67.2,55.3,42.0,84.0,79.4,52.3,59.0,71.0,42.2,82.8,52.1
299,"Emmet County, Michigan",67.1,67.0,65.2,49.0,45.3,76.9,56.0,79.1,54.9,65.5,69.2
300,"Greene County, Virginia",67.0,61.3,79.8,59.9,56.4,64.6,46.4,65.4,64.5,66.9,57.1
301,"Frederick County, Maryland",67.0,60.5,43.5,78.0,64.9,64.3,56.3,72.1,47.4,77.5,58.2
302,"Alameda County, California",67.0,38.7,34.9,83.2,62.2,76.9,78.0,89.7,34.7,56.7,66.6
303,"Montour County, Pennsylvania",67.0,52.6,68.2,71.7,52.5,64.2,38.3,76.4,79.7,61.5,52.1
304,"Columbia County, Georgia",67.0,70.3,66.6,67.5,55.2,54.3,37.9,73.9,59.7,58.1,74.1
305,"Clay County, Missouri",67.0,55.6,61.5,80.1,61.6,61.0,38.3,60.0,65.7,47.4,92.5
306,"Buchanan County, Iowa",66.9,58.4,56.7,53.0,57.5,64.6,51.7,78.1,65.7,79.6,62.6
307,"Travis County, Texas",66.9,53.8,27.9,87.7,66.2,67.2,55.9,71.0,47.8,60.3,88.8
308,"Sheboygan County, Wisconsin",66.9,53.3,59.1,61.1,49.8,67.6,50.3,77.9,62.7,76.5,69.5
309,"Lake County, Minnesota",66.9,73.0,60.5,47.7,52.2,75.6,65.4,71.5,42.2,81.1,61.5
310,"Cass County, North Dakota",66.9,45.9,41.6,72.1,62.1,71.2,34.7,81.3,65.4,65.4,88.0
311,"Pierce County, Wisconsin",66.9,55.5,65.7,65.8,48.0,68.1,52.2,79.8,48.3,73.0,66.8
312,"Park County, Montana",66.9,75.6,55.1,51.4,45.2,82.1,63.7,70.1,61.0,61.5,62.8
313,"Calvert County, Maryland",66.8,61.3,75.5,74.5,56.1,65.3,47.4,69.9,51.2,67.9,45.3
314,"Berkshire County, Massachusetts",66.7,53.3,59.8,54.6,60.2,74.2,57.1,75.0,53.0,66.8,74.6
315,"Hancock County, Maine",66.7,70.9,66.9,55.5,49.4,74.7,69.7,70.0,43.8,64.2,58.3
316,"Anoka County, Minnesota",66.7,62.0,48.2,82.2,57.1,69.4,36.4,70.4,52.4,68.8,74.7
317,"Guthrie County, Iowa",66.7,67.1,62.3,56.5,48.0,65.7,54.8,72.8,68.7,72.8,54.3
318,"Steele County, Minnesota",66.7,59.1,57.9,59.2,50.0,78.3,48.1,78.6,55.6,66.1,73.4
319,"Ontario County, New York",66.6,51.2,61.4,61.9,59.2,63.7,53.3,74.0,62.8,71.1,65.8
320,"Fairfield County, Connecticut",66.6,51.8,15.1,81.8,77.7,68.4,65.8,81.2,41.6,79.9,60.2
321,"York County, Maine",66.6,59.7,74.4,63.1,55.0,64.6,48.3,68.5,53.6,70.2,64.2
322,"Keith County, Nebraska",66.6,52.0,61.9,50.1,55.0,75.7,52.2,66.4,75.2,70.1,75.0
323,"Coffey County, Kansas",66.6,52.7,69.7,58.1,50.2,61.4,47.8,75.9,71.4,69.6,66.2
324,"Worth County, Iowa",66.6,69.6,59.0,55.1,43.7,75.5,56.2,65.3,63.7,72.3,69.6
325,"Wood County, Wisconsin",66.6,54.2,62.9,55.9,46.2,66.2,45.5,85.4,67.3,75.0,64.6
326,"Nantucket County, Massachusetts",66.6,74.5,41.6,77.7,58.1,55.9,69.7,66.0,45.4,58.8,71.0
327,"Jackson County, Minnesota",66.5,60.2,48.3,51.0,50.5,70.3,54.3,80.7,71.8,70.6,70.1
328,"Greene County, Iowa",66.3,63.0,69.7,50.3,55.9,67.6,39.8,68.7,68.3,82.6,59.6
329,"Flathead County, Montana",66.3,66.1,71.8,55.3,41.9,64.2,69.0,71.2,56.0,49.6,75.7
330,"Dodge County, Wisconsin",66.3,50.4,75.4,60.1,41.8,62.9,45.2,77.7,62.4,82.8,63.9
331,"James City County, Virginia",66.3,78.6,39.7,65.4,52.3,67.8,37.7,86.7,47.0,71.4,70.4
332,"Polk County, Iowa",66.2,59.7,35.6,74.1,63.7,67.7,39.1,72.7,58.7,62.9,89.7
333,"El Dorado County, California",66.2,59.0,41.7,68.1,59.6,59.5,71.7,82.4,43.0,74.4,59.1
334,"Bennington County, Vermont",66.2,57.7,64.3,51.2,63.3,73.9,58.1,70.3,54.3,66.8,64.5
335,"Howard County, Iowa",66.2,61.9,71.3,52.8,34.8,70.0,54.9,72.9,57.2,71.6,79.8
336,"Comal County, Texas",66.1,73.3,48.0,74.0,55.9,63.5,56.7,69.0,55.1,59.9,59.2
337,"Hillsborough County, New Hampshire",66.1,49.2,46.7,78.6,60.6,69.2,52.8,68.7,49.8,74.4,73.6
338,"Harford County, Maryland",66.1,57.2,64.1,78.0,58.8,63.5,48.2,67.5,50.9,67.3,59.6
339,"Trempealeau County, Wisconsin",66.1,55.1,74.2,54.9,43.3,65.4,53.9,74.8,57.3,81.4,63.0
340,"Lac qui Parle County, Minnesota",66.1,64.6,54.0,44.0,42.1,71.6,77.4,83.2,56.0,65.3,66.6
341,"Bedford County, Virginia",66.1,69.6,69.5,58.4,49.0,67.9,46.0,73.9,63.6,63.1,53.6
342,"Clarke County, Virginia",66.0,70.3,54.1,70.5,49.5,59.5,80.7,66.6,49.4,82.1,32.7
343,"Suffolk County, New York",66.0,50.6,42.8,84.0,70.8,61.1,59.9,66.9,34.2,90.9,59.4
344,"Ventura County, California",66.0,40.2,36.6,80.8,58.8,71.2,76.2,76.7,30.9,74.7,78.8
345,"Jones County, Iowa",66.0,57.8,65.2,55.5,56.8,57.8,38.9,73.7,76.9,74.3,62.6
346,"Millard County, Utah",66.0,51.0,68.3,60.1,34.4,73.7,47.4,74.7,82.3,66.3,64.4
347,"Story County, Iowa",66.0,36.4,40.4,63.2,79.4,75.9,40.7,82.9,50.3,70.4,86.5
348,"Platte County, Nebraska",65.9,50.4,57.4,63.5,51.5,64.2,37.2,77.8,82.6,56.1,78.7
349,"Warren County, New York",65.9,49.9,73.3,54.9,53.3,65.9,53.0,79.6,49.3,79.1,61.8
350,"Renville County, Minnesota",65.9,57.1,67.9,47.1,39.5,77.8,52.3,70.2,73.1,75.1,68.4
351,"Archuleta County, Colorado",65.8,79.9,63.9,57.7,20.3,92.1,78.5,81.9,38.1,39.9,62.6
352,"Buffalo County, Nebraska",65.8,43.3,49.5,65.3,60.7,61.8,42.1,80.6,70.9,67.7,78.7
353,"Contra Costa County, California",65.8,48.8,28.1,83.1,62.6,71.0,69.9,84.1,37.8,61.9,68.4
354,"Clinton County, Michigan",65.7,59.6,57.8,64.3,59.2,66.7,35.1,74.2,62.1,73.2,65.5
355,"Marshall County, Minnesota",65.7,63.9,72.9,46.7,45.5,62.9,45.0,71.3,80.6,82.3,49.2
356,"Jo Daviess County, Illinois",65.7,59.8,56.3,54.7,45.0,69.0,62.2,75.8,57.2,77.2,66.3
357,"Stutsman County, North Dakota",65.7,49.1,58.1,60.8,48.5,74.3,41.5,83.6,82.9,48.4,68.8
358,"Dubuque County, Iowa",65.7,56.3,52.9,61.1,65.6,62.8,41.6,75.2,60.5,67.7,75.1
359,"Sac County, Iowa",65.7,58.4,62.7,54.3,58.3,66.3,35.0,79.5,71.2,69.3,61.3
360,"Maui County, Hawaii",65.7,38.3,66.3,66.1,47.2,78.9,73.6,85.6,22.9,63.2,77.8
361,"Fond du Lac County, Wisconsin",65.6,52.0,65.7,64.2,42.9,60.3,48.5,73.8,58.7,77.0,78.4
362,"Lincoln County, Maine",65.6,74.9,60.9,54.1,52.9,71.5,59.0,70.9,43.0,64.4,66.4
363,"Lincoln County, Washington",65.6,71.3,76.9,34.4,41.1,58.0,53.6,77.5,51.4,80.9,78.7
364,"Hamilton County, Iowa",65.6,50.2,60.7,58.2,53.4,74.3,54.7,71.3,61.9,65.6,72.6
365,"Boone County, Nebraska",65.6,66.3,49.1,52.7,44.4,53.3,53.2,82.3,84.7,69.2,61.0
366,"Antelope County, Nebraska",65.5,62.9,51.6,48.9,52.3,64.7,66.9,76.6,67.2,65.3,63.4
367,"El Paso County, Colorado",65.4,54.6,36.7,64.7,48.7,88.3,57.1,72.9,51.7,59.0,94.8
368,"Allamakee County, Iowa",65.4,54.1,61.9,47.0,50.6,63.7,65.4,82.8,67.9,61.8,61.5
369,"Salem city, Virginia",65.4,45.6,67.6,62.6,68.4,52.8,36.6,72.7,55.6,76.7,79.1
370,"Stevens County, Minnesota",65.4,56.5,53.8,54.5,54.4,73.8,52.2,73.8,66.6,66.9,68.9
371,"Snohomish County, Washington",65.4,50.9,50.9,81.0,53.0,53.3,63.6,75.6,45.5,69.4,69.3
372,"Meade County, South Dakota",65.4,56.0,72.8,55.7,41.0,60.3,46.0,79.0,61.2,73.5,71.4
373,"Inyo County, California",65.4,49.8,50.3,48.9,58.2,81.0,76.6,75.1,48.5,70.3,67.4
374,"Swift County, Minnesota",65.4,58.9,59.8,47.0,58.9,74.4,48.0,79.6,54.1,68.9,70.3
375,"Island County, Washington",65.3,54.9,61.2,43.2,48.2,65.4,79.0,82.1,51.6,78.5,56.6
376,"Watonwan County, Minnesota",65.3,55.3,74.1,48.0,43.0,74.9,65.7,67.4,55.6,71.3,69.0
377,"Nemaha County, Nebraska",65.3,54.4,54.9,56.6,64.7,59.0,57.8,74.3,57.9,66.1,71.4
378,"Hughes County, South Dakota",65.3,54.0,64.1,58.4,45.2,67.7,41.5,79.4,81.9,45.5,75.9
379,"Iowa County, Wisconsin",65.2,57.8,66.7,57.0,45.6,69.3,45.0,75.5,64.7,78.8,56.4
380,"Morrill County, Nebraska",65.2,52.8,67.3,53.5,51.2,71.4,43.6,68.2,81.5,64.0,66.1
381,"Orange County, Vermont",65.2,63.0,59.0,54.5,59.1,68.9,69.2,69.5,51.4,68.1,53.2
382,"Greene County, Ohio",65.1,46.3,58.9,65.4,69.4,58.9,43.7,65.5,60.3,66.7,84.2
383,"Campbell County, Wyoming",65.1,48.4,76.3,69.6,35.6,81.1,40.2,65.5,61.7,58.0,83.0
384,"Anne Arundel County, Maryland",65.0,52.3,49.6,83.5,62.1,55.5,49.0,71.2,57.5,50.0,77.6
385,"Mercer County, Ohio",65.0,55.7,72.4,57.7,50.4,60.2,40.0,67.5,70.5,68.1,74.2
386,"Wells County, North Dakota",65.0,70.9,56.3,57.9,36.6,66.7,66.1,78.7,69.5,38.2,68.6
387,"Johnson County, Indiana",65.0,57.0,72.9,73.5,60.4,58.0,39.0,64.0,54.5,49.7,79.8
388,"Jasper County, Iowa",65.0,56.5,71.8,54.9,50.6,69.4,42.4,71.7,59.2,69.3,71.4
389,"Franklin County, Massachusetts",65.0,55.4,65.7,57.6,52.8,65.1,62.4,70.8,51.1,66.3,69.3
390,"San Benito County, California",65.0,39.1,70.3,58.5,47.4,78.4,70.9,77.7,34.2,67.3,76.9
391,"Charlevoix County, Michigan",65.0,69.4,56.5,51.9,48.9,75.4,53.6,70.2,67.0,63.9,60.2
392,"Putnam County, Ohio",65.0,58.2,73.8,57.6,50.6,50.4,33.8,70.5,74.0,75.2,69.4
393,"Cheshire County, New Hampshire",65.0,55.6,68.1,63.0,63.8,65.3,54.1,67.0,47.3,68.4,60.3
394,"King William County, Virginia",65.0,73.6,68.0,66.4,58.7,56.9,62.0,58.5,52.9,68.7,41.9
395,"Davison County, South Dakota",64.9,38.6,57.3,54.7,53.7,81.0,32.9,79.3,75.3,59.4,90.8
396,"Yellow Medicine County, Minnesota",64.9,61.0,72.6,48.3,46.4,70.8,44.9,79.0,60.8,64.4,65.6
397,"Washtenaw County, Michigan",64.9,47.2,28.2,75.6,69.7,62.9,59.1,86.3,52.7,46.6,81.8
398,"Laramie County, Wyoming",64.9,51.3,55.3,66.4,55.4,75.6,42.6,60.8,63.1,71.1,81.5
399,"Warrick County, Indiana",64.9,63.6,70.1,67.0,54.4,53.8,38.6,67.5,58.3,63.7,72.5
400,"Spencer County, Kentucky",64.8,73.8,87.3,64.5,46.2,60.1,33.7,50.2,75.1,58.9,59.1
401,"Winnebago County, Wisconsin",64.8,46.5,61.1,62.5,51.8,63.1,28.0,79.7,63.3,76.7,84.4
402,"Jefferson County, Washington",64.8,83.5,39.5,41.4,33.3,69.4,73.8,85.5,55.2,63.7,72.7
403,"Thurston County, Washington",64.8,56.1,56.3,58.2,53.0,57.4,61.8,79.2,44.9,64.0,83.7
404,"Orange County, California",64.7,36.0,27.3,85.1,63.6,49.9,76.6,83.7,31.3,76.2,85.0
405,"Phillips County, Kansas",64.7,65.5,70.5,47.6,45.4,65.0,39.3,66.0,91.1,54.8,69.6
406,"Clay County, Minnesota",64.6,53.8,60.2,63.2,48.6,67.9,45.3,66.2,57.7,73.1,84.0
407,"Teton County, Montana",64.6,66.3,65.3,45.6,25.6,69.5,68.0,71.6,72.2,67.7,67.9
408,"Custer County, Colorado",64.5,100.0,53.6,44.2,7.7,97.6,97.8,69.4,44.9,63.2,38.0
409,"Clark County, Washington",64.5,54.2,56.4,71.2,48.5,66.3,55.1,75.1,45.7,66.2,72.3
410,"Linn County, Iowa",64.5,58.8,44.3,70.3,64.8,47.8,31.5,73.4,69.0,67.7,82.3
411,"Murray County, Minnesota",64.5,68.1,60.5,51.7,36.3,72.2,58.5,76.4,60.2,66.0,63.6
412,"Emmet County, Iowa",64.4,55.3,63.4,42.7,60.0,77.8,44.2,68.5,60.0,63.1,87.1
413,"New York County, New York",64.4,35.9,17.5,75.5,78.8,51.1,83.9,81.0,50.8,75.9,62.4
414,"Hennepin County, Minnesota",64.4,55.9,9.4,77.8,66.3,70.7,52.3,79.7,56.2,61.6,85.0
415,"Oconto County, Wisconsin",64.4,63.5,81.9,58.0,40.1,69.0,38.2,66.7,60.5,68.6,64.1
416,"Gloucester County, Virginia",64.3,62.1,80.6,60.8,56.5,60.2,49.6,66.7,49.4,69.0,49.9
417,"McLeod County, Minnesota",64.3,56.7,70.4,59.8,48.2,75.9,40.8,70.5,62.3,66.6,59.9
418,"McCook County, South Dakota",64.3,54.1,53.7,51.6,42.8,67.0,59.1,68.0,85.4,73.7,64.2
419,"Sweetwater County, Wyoming",64.3,45.2,64.0,66.2,51.4,77.6,48.5,58.8,61.6,60.1,86.5
420,"Juab County, Utah",64.3,61.5,75.7,60.0,33.2,73.5,33.7,69.0,51.3,86.0,72.2
421,"Yankton County, South Dakota",64.3,48.8,54.8,58.7,47.4,69.4,33.6,90.7,70.5,53.0,82.2
422,"Rappahannock County, Virginia",64.3,72.5,66.5,68.6,40.3,68.2,47.2,69.8,50.5,83.6,37.7
423,"Manassas city, Virginia",64.3,42.8,47.3,89.6,49.8,66.7,55.3,72.2,37.6,82.0,67.9
424,"Douglas County, Nevada",64.2,62.2,51.5,59.2,49.3,68.1,50.5,69.3,50.8,89.2,67.4
425,"Rice County, Minnesota",64.1,55.6,36.9,64.0,48.9,77.7,52.7,78.0,55.5,69.3,77.7
426,"Allegan County, Michigan",64.1,61.6,71.8,57.5,41.8,68.1,49.5,65.4,66.8,61.2,67.3
427,"Sullivan County, New Hampshire",64.0,57.9,76.8,59.9,52.7,71.3,45.3,59.5,57.5,66.0,64.2
428,"Lafayette County, Wisconsin",64.0,56.1,78.3,56.9,28.4,65.6,56.8,69.0,69.1,73.6,57.3
429,"Cache County, Utah",64.0,29.4,41.8,63.6,58.1,80.5,47.3,88.3,54.0,74.2,79.8
430,"Frederick County, Virginia",64.0,64.3,62.3,73.1,52.3,61.8,51.8,66.6,58.0,64.7,46.4
431,"Turner County, South Dakota",63.9,64.7,53.8,45.9,33.5,71.1,56.6,74.7,79.4,75.6,60.9
432,"Lyon County, Minnesota",63.9,47.4,45.1,58.0,60.4,76.6,39.0,82.3,65.4,64.0,74.1
433,"Green Lake County, Wisconsin",63.9,57.1,73.9,51.7,45.5,54.8,55.4,69.8,66.2,82.6,52.8
434,"Norton County, Kansas",63.8,57.0,56.3,52.1,54.8,61.1,56.4,70.6,75.6,54.6,71.6
435,"Charles County, Maryland",63.8,61.7,71.7,75.0,52.3,65.6,36.8,68.5,44.3,71.3,53.2
436,"Mills County, Iowa",63.7,60.8,66.6,68.0,54.1,45.8,44.1,69.8,67.4,63.3,59.8
437,"Pierce County, Nebraska",63.7,63.6,41.9,61.2,47.2,62.5,38.2,85.4,69.1,68.0,69.0
438,"Carbon County, Wyoming",63.7,51.4,55.2,58.2,58.2,87.6,50.3,54.2,52.9,73.8,81.5
439,"Norman County, Minnesota",63.7,65.7,75.4,43.5,34.4,71.0,53.6,62.4,67.0,87.4,56.4
440,"Lake County, Colorado",63.7,44.4,59.3,55.0,35.8,97.3,55.8,72.7,57.0,86.9,56.4
441,"Winona County, Minnesota",63.7,48.8,59.8,55.9,52.0,72.9,43.6,76.9,52.9,78.6,71.9
442,"Lancaster County, Nebraska",63.7,44.1,39.8,66.1,56.4,72.8,42.3,83.8,57.1,60.7,88.2
443,"Christian County, Missouri",63.6,67.2,78.2,63.3,57.3,46.7,38.7,59.7,57.2,61.4,72.0
444,"San Francisco County, California",63.6,38.0,23.1,86.3,71.3,62.7,83.5,92.4,30.0,53.5,56.5
445,"Menard County, Illinois",63.6,61.8,56.5,58.8,44.6,63.6,56.6,66.7,69.2,76.6,55.5
446,"Grundy County, Illinois",63.5,54.0,69.2,68.2,51.4,64.1,45.7,60.8,56.7,77.5,60.5
447,"Elk County, Pennsylvania",63.5,53.0,75.5,46.9,56.6,70.3,51.5,59.4,74.3,63.3,61.4
448,"Walsh County, North Dakota",63.5,51.8,61.9,51.6,41.7,71.0,49.2,68.7,81.1,70.7,66.3
449,"Clay County, Kansas",63.5,59.7,74.2,47.9,58.6,61.6,36.8,79.5,46.5,69.8,69.8
450,"Hancock County, Ohio",63.5,48.1,65.4,60.6,55.2,64.6,35.5,66.7,66.2,66.8,82.1
451,"Montrose County, Colorado",63.5,63.8,50.7,46.0,39.1,80.2,72.8,76.1,58.4,64.3,61.3
452,"Hamilton County, New York",63.4,80.8,76.4,45.2,41.4,80.1,56.2,69.7,44.3,77.6,31.9
453,"Lincoln County, Wisconsin",63.4,56.4,74.5,53.0,43.4,75.7,44.0,67.2,67.3,71.4,56.1
454,"Manitowoc County, Wisconsin",63.4,52.5,57.3,57.3,46.1,67.1,44.9,74.4,65.5,77.4,68.3
455,"Bath County, Virginia",63.4,51.5,46.8,53.7,56.1,90.8,65.4,68.9,70.6,77.4,30.9
456,"Sheridan County, Nebraska",63.4,57.8,68.1,40.5,57.3,74.9,59.5,77.1,67.4,45.7,55.9
457,"Eau Claire County, Wisconsin",63.4,48.8,55.6,63.8,51.2,70.4,37.3,82.7,49.0,74.5,73.9
458,"Calhoun County, Iowa",63.4,54.5,55.4,39.7,54.4,72.4,68.6,73.9,54.1,72.3,70.6
459,"Kootenai County, Idaho",63.4,60.3,71.1,57.9,42.4,62.3,53.7,69.6,49.7,61.2,78.8
460,"Emery County, Utah",63.3,44.6,82.6,43.2,37.6,70.9,55.4,68.2,62.9,80.1,71.1
461,"Albany County, Wyoming",63.3,32.8,39.1,52.4,75.5,92.2,48.7,72.3,41.1,78.2,92.2
462,"Jefferson County, Kansas",63.3,54.2,79.8,62.0,41.1,51.9,55.0,69.2,65.2,61.8,60.4
463,"Williams County, North Dakota",63.3,62.3,60.0,82.0,42.5,76.7,35.0,68.2,80.6,23.0,63.0
464,"Wilson County, Texas",63.3,70.7,67.7,71.6,41.7,54.8,53.9,65.0,58.0,63.2,50.1
465,"Brown County, South Dakota",63.2,49.8,60.2,64.7,44.5,55.6,28.2,77.0,75.4,61.0,89.5
466,"Jefferson County, Idaho",63.2,63.6,78.0,56.8,34.3,72.0,40.7,71.0,55.9,71.4,61.2
467,"Sevier County, Utah",63.2,49.7,78.0,47.2,34.5,74.9,53.6,69.6,61.2,69.5,75.6
468,"Floyd County, Iowa",63.2,54.8,59.5,52.9,49.7,70.0,45.6,69.1,74.5,66.6,67.1
469,"Tioga County, New York",63.2,47.3,74.8,56.2,55.4,61.1,52.9,63.4,59.3,72.0,66.2
470,"Miami County, Ohio",63.2,54.1,77.8,57.2,56.9,56.7,38.5,58.4,64.2,60.6,83.0
471,"Effingham County, Illinois",63.1,55.9,70.0,59.1,40.2,62.8,41.9,71.9,79.7,55.6,65.2
472,"Carbon County, Utah",63.1,39.2,79.3,46.9,50.1,77.7,58.5,64.1,62.2,68.7,67.7
473,"Auglaize County, Ohio",63.1,56.1,69.6,54.3,53.4,64.4,36.7,57.9,69.7,76.1,73.7
474,"Queen Anne's County, Maryland",63.1,66.0,62.8,71.2,48.5,54.0,55.8,69.8,53.4,64.1,49.6
